BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7537998,-72.860934,40.753456,RES1-2SNB,RES,R12N,271046.48,135523.24,4.1039,12.1039,Above DFE,0,0
7538000,-72.859306,40.749853,RES1-1SNB,RES,R11N,221358.08,110679.04,3.9903,11.9903,Above DFE,0,0
7538002,-72.860934,40.752692,RES1-2SNB,RES,R12N,253208.9,126604.45,3.3493,11.3493,Above DFE,0,0
7538004,-72.857539,40.748507,RES1-1SNB,RES,R11N,154295.92,77147.96,3.1052,4.6052,Under DFE,0,0
7538006,-72.860265,40.749888,COM4,NONRES,C4LN,NaN,NaN,3.8644,11.8644,Above DFE,0,0
7538094,-72.85756,40.756396,RES1-1SNB,RES,R11N,148490.45,74245.23,8.236,8.736,Under DFE,0,0
7538096,-72.857527,40.756587,RES1-1SWB,RES,R11B,171106.11,85553.06,8.3986,10.3986,Above DFE,0,0
7538098,-72.857163,40.756336,RES1-1SNB,RES,R11N,162311.41,81155.71,8.9552,10.4552,Above DFE,0,0
7538100,-72.857522,40.757779,RES1-1SNB,RES,R11N,208527.48,104263.74,12.2191,12.7191,Above DFE,0,0
7538102,-72.857388,40.757234,RES1-2SWB,RES,R12B,197138.15,98569.08,10.7096,12.7096,Above DFE,0,0
7538104,-72.85754,40.757522,RES1-2SNB,RES,R12N,234678.18,117339.09,11.6278,12.1278,Above DFE,0,0
7538107,-72.857159,40.756772,RES1-1SWB,RES,R11B,218584.25,109292.13,11.2205,13.2205,Above DFE,0,0
7538109,-72.857281,40.756538,RES1-1SWB,RES,R11B,139569.61,69784.81,8.8785,10.8785,Above DFE,0,0
7538111,-72.857544,40.756754,RES1-2SWB,RES,R12B,206260.17,103130.08,8.7607,10.7607,Above DFE,0,0
7538113,-72.8574,40.757427,RES1-1SNB,RES,R11N,107584.04,53792.02,11.3376,11.8376,Above DFE,0,0
7538115,-72.857552,40.757312,RES1-1SWB,RES,R11B,163689.7,81844.85,10.4376,12.4376,Above DFE,0,0
7538117,-72.857511,40.756873,RES1-1SWB,RES,R11B,142341.84,71170.92,9.3062,11.3062,Above DFE,0,0
7538119,-72.857562,40.757072,RES1-1SNB,RES,R11N,204249.16,102124.58,10.5918,12.0918,Above DFE,0,0
